id,date,entity_id,vendor_name,description,amount,true_category,anomaly_type,tier
405e49dc-0aba-41cd-a152-edbb2b1fb423,2025-08-27,ent_004,Apex Electrical Contracting,Apex Electrical Contracting - trade contractor payment [1 of 2 - possible split to avoid approval threshold],-131.77,Subcontractor Payments,split_transaction,anomaly
e7668a00-6bca-4a79-9d2e-97c329b1d049,2026-05-19,ent_003,Wire Transfer Fee - JPM,Wire Transfer Fee - JPM - monthly account fee,-634.81,Bank Fees,,obvious
528e62bf-4123-4a5b-9607-3f53b9c17de4,2026-04-05,ent_002,State Farm Commercial,State Farm Commercial - workers comp premium,-577.53,Insurance,,obvious
96bd1723-e444-4de0-83a2-0173ae2e8cd8,2025-09-22,ent_004,Square Payment,Square Payment - vendor payment via Square,-580.12,Cost of Goods Sold,,ambiguous
aa715b59-179e-40a8-b00d-d239dab48c4b,2026-03-20,ent_003,Paychex Inc,Paychex Inc - payroll - hourly staff,-12036.8,Payroll,duplicate,anomaly
4163d123-b502-4440-a0e8-d990b2c092fd,2026-01-02,ent_002,Slack,Slack - monthly subscription,-2373.21,Software & Subscriptions,,obvious
5a28af59-ff0a-40dd-8b08-41abcba1b715,2025-09-11,ent_002,Marcum LLP Accounting,Marcum LLP Accounting - tax prep services,-1386.08,Professional Fees,,obvious
ec9ca0ab-89dd-4f99-9803-a0b08ec4c69f,2026-04-03,ent_004,Amazon,Amazon - site supplies,-453.83,Materials & Supplies,,ambiguous
c281f107-de28-435e-af57-2fe8ef346270,2025-06-26,ent_003,Home Depot,Home Depot - repair parts,-183.28,Repairs & Maintenance,,ambiguous
5108539f-7577-4512-918d-26888c13478c,2025-09-19,ent_002,Delta Air Lines,Delta Air Lines - conference travel,-272.35,Travel,,obvious
22990ca2-66bb-4e60-ad64-23dbb86fcb26,2026-06-03,ent_002,Costco Wholesale,Costco Wholesale - paper goods,-63.58,Office Supplies,,ambiguous
805e6b8a-ab58-41a6-9292-a36d9aff1288,2025-09-29,ent_003,84 Lumber,84 Lumber - building supply restock,-1398.36,Materials & Supplies,,obvious
6f7bb34a-b01f-4c07-bc7c-8959cf0676a6,2025-07-28,ent_003,84 Lumber,84 Lumber - job site materials,-455.23,Materials & Supplies,,obvious
3f41c797-cb26-45cf-88b3-13f0806f287e,2026-05-06,ent_004,Costco Wholesale,Costco Wholesale - cleaning supplies,-38.5,Office Supplies,,ambiguous
b20f4e6d-e8fe-4d18-aafc-1c7bfcd09533,2025-12-06,ent_004,Chase Business Banking Fee,Chase Business Banking Fee - wire transfer fee,-1387.14,Bank Fees,,obvious
ba26b072-8607-4d64-bd52-54bf4d3ee56a,2026-02-13,ent_001,Home Depot,Home Depot - lumber,-243.3,Materials & Supplies,,ambiguous
1da69abc-8e0f-40a1-bdf4-d96c6a00e60d,2026-03-09,ent_004,Reliable Plumbing Co,Reliable Plumbing Co - milestone payment,-1208.12,Subcontractor Payments,,obvious
fc15b979-578d-41c3-8843-2d69192cf14d,2025-11-17,ent_001,Home Depot,Home Depot - site materials,-701.53,Materials & Supplies,,ambiguous
20581eaf-aa7b-4a33-a8ce-d24d339a8238,2025-07-31,ent_002,Shell Gas Station,Shell Gas Station - fuel - business trip,-50.35,Travel,,ambiguous
8b8d2601-bc91-4937-a75c-1ce975922d68,2025-09-03,ent_002,Toast POS,Toast POS - cloud hosting charge,-824.47,Software & Subscriptions,,obvious
8966e573-a38e-4da6-a0fb-4cf64abe0ed9,2025-07-15,ent_004,State Farm Commercial,State Farm Commercial - quarterly liability premium,-1078.37,Insurance,,obvious
2a08c313-71a2-4e7d-82ba-16647ca9ef9f,2026-02-12,ent_002,Summit Roofing LLC,Summit Roofing LLC - trade contractor payment,-1273.41,Subcontractor Payments,,obvious
6b2b3804-5737-4c13-8b7c-ba1383decf37,2025-07-18,ent_002,Home Depot Pro,Home Depot Pro - hardware order,-1962.4,Materials & Supplies,,obvious
70d92ba8-be92-431f-ad82-9c40371658f0,2025-07-23,ent_002,Yelp Ads,Yelp Ads - ad campaign spend,-1411.89,Marketing,,obvious
96c83725-eaae-466a-931c-462164edc982,2025-09-05,ent_003,Sysco Foods,Sysco Foods - bulk ingredient restock,-2250.29,Cost of Goods Sold,,obvious
4ed396fa-869f-49a7-9f80-86d8711b5178,2025-11-20,ent_002,AWS,AWS - annual license renewal,-279.28,Software & Subscriptions,,obvious
99efb551-245b-4b72-902d-a8a61eb3eb57,2026-06-14,ent_003,ADP Payroll,Payroll run - processed Saturday (off-cycle),-6824.47,Payroll,off_hours_payroll,anomaly
5097537a-4342-4555-8731-9126c59842d7,2026-05-23,ent_003,Westfield Property Management,Westfield Property Management - monthly lease payment,-8419.63,Rent,,obvious
dbe52b5d-b03c-49b1-a6ac-305c760bef4b,2026-03-03,ent_001,Westfield Property Management,Westfield Property Management - monthly lease payment,-3493.23,Rent,,obvious
90705b93-162f-40a3-a3f7-cf3628f1b67a,2026-01-14,ent_003,Amazon,Amazon - tools,-204.09,Equipment,,ambiguous
5898c8f2-a832-4c5e-9f03-2f2b34132f0d,2025-09-21,ent_001,Paychex Inc,Paychex Inc - payroll - hourly staff,-17669.77,Payroll,,obvious
c378613a-48ce-4543-a278-7c478a7b84db,2025-10-04,ent_003,Ferguson Building Materials,Ferguson Building Materials - building supply restock,-276.93,Materials & Supplies,,obvious
8051e35e-6883-4c2a-886e-c471f96e8808,2026-02-13,ent_001,Westfield Property Management,Westfield Property Management - rent - warehouse space,-3053.68,Rent,,obvious
17309a4a-4b07-452a-97ce-99ab0304fd56,2025-12-29,ent_004,Costco Wholesale,Costco Wholesale - paper goods,-128.95,Office Supplies,,ambiguous
ff053bcc-fb1f-4901-9b8b-bfa390a7fe58,2025-09-05,ent_003,Square Payment,Square Payment - contractor invoice via Square [1 of 2 - possible split to avoid approval threshold],-1781.35,Subcontractor Payments,split_transaction,anomaly
1965bb9d-68ff-49a7-ba22-8dbe56cd8444,2025-11-05,ent_004,Apex Electrical Contracting,Apex Electrical Contracting - trade contractor payment,-1786.76,Subcontractor Payments,,obvious
2e1b18ad-8684-422d-b7c7-5a9230fdaf51,2025-09-07,ent_003,Hartford Insurance Group,Hartford Insurance Group - monthly premium,-1817.61,Insurance,,obvious
dcb45ef6-67bd-4ec8-8301-6ed38d0d081f,2025-11-12,ent_003,Marriott Hotels,Marriott Hotels - business trip - flight,-39.17,Travel,,obvious
03a868dd-93d7-4ebb-87f0-234eed84e067,2026-03-20,ent_003,Paychex Inc,Paychex Inc - payroll - hourly staff,-12036.8,Payroll,,obvious
132d70a9-c3b8-438c-8827-f0d62913a3f7,2025-11-30,ent_004,ADP Payroll,ADP Payroll - payroll - hourly staff,-10859.44,Payroll,,obvious
a9809676-9c6b-43e7-bd6a-7f7af0cf0252,2025-10-18,ent_004,Shell Gas Station,Shell Gas Station - fuel - delivery vehicle,-83.68,Repairs & Maintenance,,ambiguous
9cb654f7-5e5f-49f9-a433-02e893f0ddfd,2025-10-03,ent_001,Square Payment,Square Payment - contractor invoice via Square,-4242.44,Subcontractor Payments,,ambiguous
4d873382-9804-4fd8-ab3d-d447f0aa2d7d,2026-03-31,ent_003,Wire Transfer Fee - JPM,Wire Transfer Fee - JPM - overdraft fee,-1125.87,Bank Fees,,obvious
d5159bc5-7d01-41d3-98c7-6abba4ba60ff,2025-11-12,ent_003,Hartford Insurance Group,Hartford Insurance Group - quarterly liability premium,-1273.77,Insurance,,obvious
c54f3d24-53f0-48cf-ba2a-3f199e5e0318,2026-03-11,ent_004,State Farm Commercial,State Farm Commercial - workers comp premium,-1542.99,Insurance,,obvious
6eebed9a-4208-43e8-be46-d1fb7523e286,2025-08-16,ent_004,Square Payment,Square Payment - vendor payment via Square [1 of 2 - possible split to avoid approval threshold],-50.62,Cost of Goods Sold,split_transaction,anomaly
2268d8b9-cfce-425e-800a-fe0ed1b9842d,2026-04-06,ent_002,Meta Ads,Meta Ads - social media ads,-1464.62,Marketing,,obvious
d2f96a5c-930c-4624-ae10-e6e885f31025,2026-03-01,ent_001,Ferguson Building Materials,Ferguson Building Materials - job site materials,-93.9,Materials & Supplies,,obvious
38c0f025-74f0-4bae-8a00-c6fe2472b0f9,2025-07-22,ent_003,Home Depot,Home Depot - site materials,-1192.36,Materials & Supplies,,ambiguous
a0401d99-cab9-4611-85ae-da5b57ff47e1,2025-12-03,ent_004,Gusto Payroll Services,Gusto Payroll Services - biweekly payroll run,-11500.44,Payroll,,obvious
7602b72f-cc4d-4265-858d-b39cb84313d6,2026-04-20,ent_004,Amazon,Amazon - POS tablet,-1910.38,Equipment,,ambiguous
4f1c6b1d-4c5d-45cd-919c-7cf223737470,2025-11-30,ent_001,Shell Gas Station,Shell Gas Station - fuel - business trip,-53.44,Travel,,ambiguous
4eebe939-e7ca-40b5-a86f-356a6d91db1a,2025-12-27,ent_001,Home Depot,Home Depot - lumber,-3816.32,Materials & Supplies,,ambiguous
0558f6c8-3576-4837-915b-ba3fec503d72,2025-08-31,ent_002,Home Depot,Home Depot - repair parts,-241.34,Repairs & Maintenance,,ambiguous
b6438301-8f7c-4ec0-a09c-3a914a4fc857,2025-09-02,ent_002,Amazon,Amazon - folders,-34.19,Office Supplies,,ambiguous
c5634c63-a4f0-4dc8-9794-66d097063b83,2026-01-26,ent_001,Manual Journal Entry,Manual adjustment - owner draw adjustment,-1500,Cost of Goods Sold,duplicate,anomaly
f6471199-3b16-4350-bfe9-4b16fb3a4b38,2025-09-25,ent_002,Marcum LLP Accounting,Marcum LLP Accounting - legal consultation,-1211.51,Professional Fees,,obvious
432e5ae0-59df-43a7-a49d-a24cd503544c,2025-12-26,ent_002,Microsoft 365,Microsoft 365 - annual license renewal,-1840.82,Software & Subscriptions,,obvious
326d4cb7-0966-4c38-a053-0b7e65d49b84,2025-10-17,ent_002,National Grid,National Grid - water & sewer,-149.41,Utilities,,obvious
aa23ed0c-857e-4042-8a8c-810aef72eff5,2025-11-27,ent_001,ADP Payroll,ADP Payroll - biweekly payroll run,-10220.38,Payroll,,obvious
7d219e06-3e64-4889-997e-a4ab8529bc94,2026-06-12,ent_004,Costco Wholesale,Costco Wholesale - paper goods [1 of 2 - possible split to avoid approval threshold],-38.13,Office Supplies,split_transaction,anomaly
85a1ba17-670d-4f9e-a8f2-7622fec75a99,2025-10-07,ent_003,State Farm Commercial,State Farm Commercial - workers comp premium,-1815.93,Insurance,,obvious
18f481b3-c7f2-4f8d-af70-a0054e40523a,2026-01-05,ent_004,Delta Air Lines,Delta Air Lines - client visit - rideshare,-71.72,Travel,,obvious
e5306986-8693-45ef-bd06-8bfc564ba22f,2025-07-05,ent_004,Home Depot Pro,Home Depot Pro - hardware order,-580.13,Materials & Supplies,duplicate,anomaly
9f4b9a6c-6021-4933-b228-a1118a13a792,2026-01-24,ent_004,Reliable Plumbing Co,Reliable Plumbing Co - trade contractor payment,-1633.34,Subcontractor Payments,,obvious
aaa5a716-f14c-4119-8566-b91816afea83,2025-07-07,ent_004,ADP Payroll,ADP Payroll - biweekly payroll run,-5399.73,Payroll,,obvious
ec18130a-e846-445e-9a69-e87a5f8d86a2,2026-04-23,ent_004,Microsoft 365,Microsoft 365 - annual license renewal,-639.04,Software & Subscriptions,,obvious
6c4f843f-1e69-4a56-aff3-7633edc7c983,2026-03-06,ent_004,Home Depot,Home Depot - paint,-79.55,Repairs & Maintenance,,ambiguous
7ec39535-9255-413c-970b-776646cba864,2025-09-07,ent_002,Gusto Payroll Services,Gusto Payroll Services - biweekly payroll run,-13013.67,Payroll,,obvious
31e04443-4365-4859-af5e-dabf2bbeebbb,2025-12-06,ent_002,Downtown Realty Holdings,Downtown Realty Holdings - rent - storefront,-2544.4,Rent,,obvious
a9e21deb-438c-47b5-93cd-24afb3d628fa,2025-08-24,ent_003,Amazon,Amazon - tools,-2172.71,Equipment,,ambiguous
700ef073-bd7b-4c6f-954f-5f8f51566fca,2026-04-12,ent_003,Home Depot,Home Depot - power tools,-888.15,Equipment,,ambiguous
cd8fe160-d82f-4af9-8761-87971a676555,2026-04-08,ent_002,Home Depot,Home Depot - concrete,-3951.33,Materials & Supplies,,ambiguous
fbfbac3e-da23-4198-b0ab-adda459919f5,2025-09-13,ent_004,Home Depot,Home Depot - concrete,-3347.71,Materials & Supplies,,ambiguous
5b0ff573-e646-4cfb-933a-2297fb86150a,2025-11-02,ent_003,QuickBooks Online,QuickBooks Online - monthly subscription,-711.74,Software & Subscriptions,,obvious
fb8c2fc3-4811-4f29-9dc9-e7bdde6aa57f,2026-05-09,ent_001,Ferguson Building Materials,Ferguson Building Materials - job site materials,-1788.51,Materials & Supplies,,obvious
8d8c1075-0704-483d-868b-72d84f1ec6fc,2026-02-19,ent_004,Local Farms Co-op,Local Farms Co-op - bulk ingredient restock,-1697.38,Cost of Goods Sold,,obvious
f54fe106-a58d-4bcb-ad8e-569f6e5b0e91,2026-02-06,ent_003,Shell Gas Station,Shell Gas Station - fuel - delivery vehicle,-54.93,Repairs & Maintenance,,ambiguous
3da97a6b-2c4d-41bc-9289-1ddebfb7ab24,2026-04-11,ent_001,Amazon,Amazon - commercial blender,-1229.17,Equipment,,ambiguous
d21fb4e9-766b-4898-be08-0b114baac46f,2026-05-16,ent_002,US Foods,US Foods - beverage order,-834.09,Cost of Goods Sold,,obvious
c3d2d2c6-ab50-4ff8-98e5-906cb307240b,2025-11-18,ent_004,Gusto Payroll Services,Gusto Payroll Services - biweekly payroll run,-3716.24,Payroll,,obvious
a611dd9e-991f-4399-9d8e-5dc5b30431c0,2026-03-05,ent_003,ADP Payroll,ADP Payroll - payroll - salaried staff [1 of 2 - possible split to avoid approval threshold],-6202.0,Payroll,split_transaction,anomaly
33b918a4-d317-4eeb-8402-590a367f8361,2026-04-19,ent_001,84 Lumber,84 Lumber - hardware order,-837.52,Materials & Supplies,,obvious
997ca79d-79b1-4d47-a624-031bcb364137,2025-11-12,ent_003,Ferguson Building Materials,Ferguson Building Materials - building supply restock,-1111.75,Materials & Supplies,,obvious
c2a2de55-1c47-4d90-93e5-8262737aac75,2025-10-06,ent_001,Wire Transfer Fee - JPM,Wire Transfer Fee - JPM - monthly account fee,-1025.43,Bank Fees,,obvious
30a831c6-0d24-4571-ba33-86c04bedbdcf,2025-07-21,ent_001,Shell Gas Station,Shell Gas Station - fuel - business trip,-119.18,Travel,,ambiguous
5c221efe-3e43-45d2-9c46-fa06b115422a,2026-04-27,ent_004,Downtown Realty Holdings,Downtown Realty Holdings - monthly lease payment,-6191.75,Rent,,obvious
8d9b7567-a86d-4526-9c6e-18f68b2e8497,2026-05-23,ent_004,Costco Wholesale,Costco Wholesale - cleaning supplies,-118.91,Office Supplies,,ambiguous
a30ad739-12ba-461c-8d9f-ba3b24184afe,2026-04-15,ent_001,ADP Payroll,ADP Payroll - payroll - hourly staff,-14081.94,Payroll,,obvious
4245b6b8-2087-4688-a87c-f1b14365bc5f,2025-11-20,ent_001,Hartford Insurance Group,Hartford Insurance Group - quarterly liability premium,-1365.68,Insurance,,obvious
e76a83b3-4d05-42a3-b44d-f9ee4dc0883d,2025-09-03,ent_003,Hartford Insurance Group,Hartford Insurance Group - monthly premium,-543.24,Insurance,,obvious
dccef7b3-dd08-4d08-9d54-907680e7ca49,2025-08-14,ent_004,Hartford Insurance Group,Hartford Insurance Group - quarterly liability premium,-525.98,Insurance,,obvious
e0c24dac-1fef-42c0-9417-149167a40046,2026-01-08,ent_004,Downtown Realty Holdings,Downtown Realty Holdings - monthly lease payment,-8789.15,Rent,,obvious
386e0474-ea8b-43a0-87a9-30f0bbb37bcc,2025-12-27,ent_004,Square Payment,Square Payment - contractor invoice via Square,-2338.23,Subcontractor Payments,,ambiguous
09019de9-756f-4e6b-b55f-81560bb40be3,2025-10-23,ent_001,Amazon,Amazon - site supplies,-1408.12,Materials & Supplies,,ambiguous
f5b2a3c4-8728-4466-af49-bc18c3e639f6,2025-11-05,ent_001,Amazon,Amazon - folders,-142.6,Office Supplies,,ambiguous
f21d35d3-15f5-4b6b-81b7-a108754176e3,2026-01-01,ent_001,National Grid,National Grid - water & sewer,-538.04,Utilities,,obvious
6cd88d04-0913-4153-94b4-a061d3e1cc0d,2025-12-13,ent_001,Goldfarb & Associates Legal,Goldfarb & Associates Legal - tax prep services,-2287.54,Professional Fees,,obvious
e67f6dc3-1120-40cd-b84e-fd6cf1e5035c,2026-04-25,ent_001,Costco Wholesale,Costco Wholesale - staff lunch,-226.17,Meals & Entertainment,,ambiguous
629a17d2-44ea-411a-88ea-606213481353,2025-11-15,ent_002,Gusto Payroll Services,Gusto Payroll Services - payroll - hourly staff,-7487.31,Payroll,,obvious
fdccce8a-9cda-4f75-bcce-5c82a415a121,2026-04-15,ent_003,Westfield Property Management,Westfield Property Management - rent - storefront,-3440.47,Rent,,obvious
f7375ec5-9205-4cdc-9034-b44b4f5f2a02,2025-11-29,ent_004,Square Payment,Square Payment - contractor invoice via Square [unusually large vs vendor history],-7604.15,Subcontractor Payments,outlier_amount,anomaly
bd549f9b-d869-4fd3-9f61-a80f548994cc,2025-12-01,ent_004,Home Depot Pro,Home Depot Pro - building supply restock,-952.62,Materials & Supplies,,obvious
151f8385-3bd6-421c-be0c-89e6dddafd09,2026-03-19,ent_003,Manual Journal Entry,Manual adjustment - owner draw adjustment,-1000,Subcontractor Payments,round_number_manual,anomaly
7d80a811-d413-43e6-ae4b-33a95845efe5,2025-08-05,ent_001,Gusto Payroll Services,Gusto Payroll Services - payroll - salaried staff,-4892.87,Payroll,,obvious
9a3bb249-a9b6-479e-a47c-93457ed1bbfc,2025-07-11,ent_001,Delta Air Lines,Delta Air Lines - client visit - rideshare,-934.09,Travel,,obvious
f40840e4-df37-48da-bcb7-148e5fb1563b,2025-09-28,ent_004,ADP Payroll,ADP Payroll - biweekly payroll run,-10660.14,Payroll,,obvious
a62cfb19-4edf-462e-952c-c1d6afbdd6ff,2026-05-05,ent_004,Goldfarb & Associates Legal,Goldfarb & Associates Legal - legal consultation,-640.91,Professional Fees,,obvious
ded13899-ae53-444f-98f5-435140ce39d8,2026-03-12,ent_003,Square Payment,Square Payment - vendor payment via Square,-305.16,Cost of Goods Sold,,ambiguous
a34922dd-a13d-4f8f-a684-fd0610bd0338,2025-07-12,ent_004,National Grid,National Grid - internet & phone service,-793.06,Utilities,,obvious
aeb09d08-562e-4745-a999-85d6503bfc9c,2025-08-27,ent_004,Home Depot,Home Depot - lumber,-3903.31,Materials & Supplies,,ambiguous
24ad77ae-3079-4d15-814f-6ce042378b4b,2025-12-11,ent_003,Summit Roofing LLC,Summit Roofing LLC - milestone payment,-513.3,Subcontractor Payments,,obvious
74bdb50b-9c43-472f-ac49-bbb98406c7ed,2026-05-17,ent_002,US Foods,US Foods - beverage order,-106.3,Cost of Goods Sold,,obvious
ea2c0854-0e54-49d6-8280-5586246320a5,2026-05-06,ent_004,Home Depot,Home Depot - hardware fix,-52.05,Repairs & Maintenance,,ambiguous
f11d49f9-aa5d-4fb5-aba4-90052de44ae0,2026-05-13,ent_003,Sysco Foods,Sysco Foods - beverage order,-595.72,Cost of Goods Sold,,obvious
dc7fce60-8a9c-4de1-9d6b-5890d0c4d838,2026-01-25,ent_004,Sysco Foods,Sysco Foods - bulk ingredient restock,-1348.63,Cost of Goods Sold,,obvious
3ff52c54-c321-43d2-a31d-eb488cf1b4a6,2025-06-25,ent_002,Amazon,Amazon - commercial blender,-341.57,Equipment,,ambiguous
c6ec6463-9606-48cb-9769-da77d5668653,2025-10-02,ent_001,Square Payment,Square Payment - contractor invoice via Square,-1000.98,Subcontractor Payments,,ambiguous
0f246de6-36ec-4caf-89ec-cbe74c19fd34,2025-11-19,ent_001,Square Payment,Square Payment - contractor invoice via Square,-1355.22,Subcontractor Payments,,ambiguous
898274e1-3d5f-4a91-bd65-29c446db93e3,2026-03-07,ent_001,Paychex Inc,Paychex Inc - biweekly payroll run,-8146.0,Payroll,,obvious
019b2d58-a529-4494-8446-deb27cb26a39,2026-02-12,ent_003,Costco Wholesale,Costco Wholesale - cleaning supplies,-41.2,Office Supplies,,ambiguous
80209b8e-4fa3-4aad-8e56-a7690919674b,2025-08-01,ent_004,Square Payment,Square Payment - vendor payment via Square [unusually large vs vendor history],-3934.63,Cost of Goods Sold,outlier_amount,anomaly
5c54d29c-5d48-4b1a-8f81-f1a112b1fea0,2025-08-31,ent_001,Shell Gas Station,Shell Gas Station - fuel - delivery vehicle,-117.25,Repairs & Maintenance,,ambiguous
322fdea1-9dca-4105-8621-74d929dd0de3,2026-04-12,ent_004,Goldfarb & Associates Legal,Goldfarb & Associates Legal - legal consultation,-472.05,Professional Fees,,obvious
e8b1e522-0ed6-49cc-bed2-079a45f7c4e4,2025-07-13,ent_002,Downtown Realty Holdings,Downtown Realty Holdings - rent - warehouse space,-5751.71,Rent,,obvious
4effde0a-e03d-41b0-bf8c-c4f047a1282c,2025-09-01,ent_002,Enterprise Rent-A-Car,Enterprise Rent-A-Car - business trip - flight,-932.25,Travel,,obvious
97fe9fa5-ff80-42e2-9ef3-de5bfc5661e4,2025-12-27,ent_002,ADP Payroll,Payroll run - processed Saturday (off-cycle),-5839.94,Payroll,off_hours_payroll,anomaly
935e2ce7-2e8e-4c01-8aaa-6bcd0e2f77fd,2025-10-12,ent_003,Enterprise Rent-A-Car,Enterprise Rent-A-Car - conference travel,-1611.4,Travel,,obvious
e7da5684-ae04-4cdc-8a00-5e70078d4c13,2026-06-18,ent_004,Shell Gas Station,Shell Gas Station - fuel - delivery vehicle,-117.23,Repairs & Maintenance,,ambiguous
909a8d1b-c2ad-47f5-b152-95f5533e42ea,2025-10-25,ent_003,Marriott Hotels,Marriott Hotels - conference travel,-2209.37,Travel,,obvious
ec0994cb-6e6d-4abc-bf09-ace26bf75d13,2026-06-03,ent_001,National Grid,National Grid - monthly electric bill,-270.22,Utilities,,obvious
